Date,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Company,Departure Station,Arrival station,Reason for Delay,Other problems
02/10/2018,17.23,17.23,17.37,17.39,GWR,Bristol Temple Meads,Bath Spa,N/A,overcrowding
,20.41,20.43,21,20.56,GWR,Bath Spa,Bristol Temple Meads,N/A,None
09/10/2018,17.23,17.23,17.37,17.37,GWR,Bristol Temple Meads,Bath Spa,,
,20.37,20.39,20.54,20.54,GWR,Bath Spa,Bristol Temple Meads,N/A,None
12/10/2018,13.00,13.02,14.37,14.39,GWR,Bristol Temple Meads,London Paddington,N/A,Seat reservations not available
,15.4,15.4,16.27,16.27,Great Anglia,London Liverpool Street,Stansted Airport,,
15/10/2018,20.00,20.00,21.44,21.42,GWR,London Paddington,Bristol Temple Meads,,
22/10/2018,9.3,9.42,10.56,11.02,Cross Country,Bristol Temple Meads,Birmingham New Street,,
,17.12,17.12,18.45,18.45,Cross Country,Birmingham New Street,Bristol Temple Meads,,
23/10/2018,17.23,17.23,17.37,17.37,GWR,Bristol Temple Meads,Bath Spa,,
27/10/2018,8.3,9.14,9.23,9.49,GWR,Bristol Parkway,Cardiff Central,Broken down train,
,14.26,14.26,15.01,15.01,GWR,Cardiff Central,Bristol Parkway,,
3/11/2018,8.3,8.3,9.23,9.2,GWR,Bristol Parkway,Cardiff Central,,
,15.5,15.5,16.52,16.32,GWR,Cardiff Central,Bristol Parkway,,
27/11/2018,17.3,17.3,17.44,17.44,GWR,Bristol Temple Meads,Bath Spa,,
,21.03,21.03,21.21,21.2,GWR,Bath Spa,Bristol Temple Meads,,
29/11/2018,9.3,9.32,11.12,11.27,GWR,Bristol Temple Meads,London Paddington,,"No seat reservations 5 coaches instead of 10"
,12.06,12.06,12.27,12.27,LNer,King's Cross,Stevenage,,
4/12/2018,17,17,17.11,17.19,GWR,Bristol Temple Meads,Bath Spa,Slow train in front,
8/12/2018,8.2,8.21,8.23,8.24,GWR,bristol parkway,filton abbey wood,,
,8.31,8.31,9.23,9.21,GWR,filton abbey wood,cardiff central,,
11/12/2018,17,17,17.11,17.21,GWR,Bristol Temple Meads,Bath Spa,,
,20.37,20.4,20.54,20.56,GWR,Bath Spa,Bristol Temple Meads,,
16/12/2018,20.5,20.5,19.56,19.56,GWR,Cardiff Central,Bristol Temple Meads,,
18/12/2018,15.21,15.21,16.15,16.17,GWR,Bristol Temple Meads,Cardiff Central,,
,20.44,20.44,21.17,21.2,GWR,Newport,Bristol Temple Meads,,
22/12/2018,8.31,8.31,9.23,9.2,GWR,Filton Abbey Wood,Cardiff Central,,
,12.4,12.4,13,13,GWR,Newport,Bristol Parkway,,
08/01/2019,17,17,17.13,17.21,GWR,Bristol Temple Meads,Bath Spa,Slow train in front,
,21.03,21.03,21.23,21.15,GWR,Bath Spa,Bristol Temple Meads,,
15/01/2019,17,17,17.13,17.13,GWR,Bristol Temple Meads,Bath Spa,,
,20.37,20.38,20.54,20.55,GWR,Bath Spa,Bristol Temple Meads,,
20/01/2019,8.55,9,9.18,9.24,GWR,Filton Abbey Wood,Newport,,
,19.18,19.18,20.07,20.01,GWR,Newport,Bristol Temple Meads,,
21/01/2019,13,13,14.08,14.12,GWR,Bristol Temple Meads,Reading,,
,14.32,14.32,15.51,15.51,GWR,Reading,Gatwick Airport,,
29/01/2019,17,17,17.13,17.13,GWR,Bristol Temple Meads,Bath Spa,,
,20.37,20.39,20.54,20.53,GWR,Bath Spa,Bristol temple meads,,
05/02/2019,17,17,17.13,17.13,GWR,Bristol Temple Meads,Bath Spa,,
,20.37,20.45,20.54,20.59,GWR,Bath Spa,Bristol temple meads,,
12/02/2019,17,17,17.13,17.13,GWR,Bristol Temple Meads,Bath Spa,,
,20.31,20.3,20.44,21.41,GWR,Bath Spa,Bristol temple meads,,
19/02/2019,17,17,17.13,17.12,GWR,Bristol Temple Meads,Bath Spa,,
,20.31,20.34,20.44,20.46,GWR,Bath Spa,Bristol temple meads,,
26/02/2019,17,17,17.13,17.13,GWR,Bristol Temple Meads,Bath Spa,,
,20.07,20.07,20.38,20.25,GWR,Bath Spa,Bristol temple meads,,
03/03/2019,16.2,16.29,18.29,18.45,GWR,Cardiff Central,London Paddington,,
04/03/2019,8.21,8.28,8.31,8.38,Thameslink,Letchworth,Stevenage,,
,18.38,18.38,18.49,18.49,Thameslink,Stevenage,Letchworth,,
05/03/2019,8.21,8.22,8.31,8.31,Thameslink,Letchworth,Stevenage,,
06/03/2019,8.21,8.21,8.31,8.3,Thameslink,Letchworth,Stevenage,,
,18.03,18.03,18.13,18.22,Thameslink,Stevenage,Letchworth,,
07/03/2019,8.21,8.22,8.31,8.32,Thameslink,Letchworth,Stevenage,,
,18.03,18.1,18.13,18.28,Thameslink,Stevenage,Letchworth,,
08/03/2019,8.21,8.21,8.31,8.31,Thameslink,Letchworth,Stevenage,,
,17.38,17.38,17.48,17.48,Thameslink,Stevenage,Letchworth,,
09/03/2019,9.51,9.56,10.28,10.33,Thameslink,Letchworth,Kings cross,,
,11.3,11.3,13.15,13.13,GWR,London Paddington,Bristol Temple Meads,,
10/03/2019,9.58,10.04,10.43,10.44,GWR,Filton abbey wood,Cardiff central,,
,19.09,19.09,21.13,21.15,GWR,Newport,London Paddington,,
,22.08,22.21,22.45,23.01,Thameslink,kings cross,hitchin,,
,23.16,23.29,23.21,23.34,Thameslink,hitchin,letchworth,,
11/03/2019,8,8,8.1,8.09,thameslink,letchworth,stevenage,,
,17.38,17.38,17.48,17.48,Thameslink,stevenage,letchworth,,
12/03/2019,8.21,8.21,8.31,8.3,Thameslink,Letchworth,Stevenage,,
13/03/2019,8,8.01,8.1,8.11,Thameslink,Stevenage,Letchworth,,
,17.38,17.38,17.48,17.48,Thameslink,stevenage,letchworth,,
14/03/2019,8.21,8.21,8.31,8.31,Thameslink,Letchworth,Stevenage,,
15/03/2019,8.3,8.35,8.4,8.44,Thameslink,Letchworth,Stevenage,,
,17.38,17.38,17.48,17.48,Thameslink,stevenage,letchworth,,
18/03/2019,8.21,8.31,8.31,8.4,Thameslink,Letchworth,Stevenage,,
19/03/2019,8.21,8.22,8.31,8.33,Thameslink,Letchworth,Stevenage,,
20/03/2019,8.3,8.31,8.4,8.41,Thameslink,Letchworth,Stevenage,,
,17.38,17.42,17.48,17.52,Thameslink,stevenage,letchworth,,
21/03/2019,8.3,8.32,8.4,8.41,Thameslink,Letchworth,Stevenage,,
22/03/2019,8,8,8.1,8.09,Thameslink,Letchworth,Stevenage,,
,17.03,17.03,17.09,17.08,Thameslink,Stevenage,Hitchin,,
,17.44,17.47,17.48,17.51,Thameslink,Hitchin,Letchworth,,
25/03/2019,8.3,8.3,8.4,8.39,Thameslink,Letchworth,Stevenage,,
,17.38,17.39,17.48,17.49,Thameslink,stevenage,letchworth,,
26/03/2019,8.3,8.31,8.4,8.4,Thameslink,Letchworth,Stevenage,,
27/03/2019,8.21,8.22,8.31,8.31,Thameslink,Letchworth,Stevenage,,
28/03/209,8.3,8.31,8.4,8.4,Thameslink,Letchworth,Stevenage,,
29/03/2019,8.21,8.21,8.31,8.3,Thameslink,Letchworth,Stevenage,,
01/04/2019,8.3,8.3,8.4,8.39,Thameslink,Letchworth,Stevenage,,
02/04/2019,8.3,8.31,8.4,8.4,Thameslink,Letchworth,Stevenage,,
03/04/2019,8.3,8.31,8.4,8.4,Thameslink,Letchworth,Stevenage,,
,17.38,17.38,17.48,17.48,Thameslink,stevenage,letchworth,,
04/04/2019,8.3,8.3,8.4,8.39,Thameslink,Letchworth,Stevenage,,
,20.38,20.38,20.48,20.48,Thameslink,stevenage,letchworth,,
05/04/2019,8.3,8.3,8.4,8.39,Thameslink,Letchworth,Stevenage,,
,17.03,17.07,17.13,17.17,Thameslink,stevenage,letchworth,,
10/04/2019,7.54,7.54,8.31,8.45,Thameslink,Cambridge,Stevenage,,
,17.03,17.03,17.13,17.13,Thameslink,Letchworth,Stevenage,,
11/04/2019,8.21,8.34,8.31,8.44,Thameslink,Letchworth,Stevenage,,
12/04/2019,8.3,8.34,8.4,8.43,Thameslink,Letchworth,Stevenage,,
15/04/2019,8.21,8.31,8.31,8.41,Thameslink,Letchworth,Stevenage,,
,17.38,17.39,17.48,17.49,Thameslink,stevenage,letchworth,,
16/04/2019,8.3,8.3,8.4,8.39,Thameslink,Letchworth,Stevenage,,
,21,21.03,21.1,21.13,Thameslink,stevenage,letchworth,,
17/04/2019,8.3,8.3,8.4,8.39,Thameslink,Letchworth,Stevenage,,
18/04/2019,8.56,8.59,9.06,9.09,Thameslink,Letchworth,Stevenage,,
,20.38,20.59,20.48,21.11,Thameslink,stevenage,letchworth,,
23/04/2019,8,8,8.1,8.1,Thameslink,Letchworth,Stevenage,,
24/04/2019,8.3,8.3,8.4,8.39,Thameslink,Letchworth,Stevenage,,
,17.38,17.58,17.48,18.26,Thameslink,stevenage,letchworth,,
